tahun,bulan,jumlah_gempa
2013,Januari,9
2013,Februari,29
2013,Maret,15
2013,April,36
2013,Mei,7
2013,Juni,4
2013,Juli,9
2013,Agustus,4
2013,September,6
2013,Oktober,7
2013,November,6
2013,Desember,8
2014,Januari,38
2014,Februari,20
2014,Maret,16
2014,April,25
2014,Mei,8
2014,Juni,6
2014,Juli,6
2014,Agustus,7
2014,September,11
2014,Oktober,12
2014,November,9
2014,Desember,14
2015,Januari,4
2015,Februari,1
2015,Maret,6
2015,April,15
2015,Mei,6
2015,Juni,3
2015,Juli,5
2015,Agustus,4
2015,September,12
2015,Oktober,36
2015,November,27
2015,Desember,35
2016,Januari,41
2016,Februari,184
2016,Maret,98
2016,April,74
2016,Mei,64
2016,Juni,63
2016,Juli,60
2016,Agustus,60
2016,September,58
2016,Oktober,43
2016,November,32
2016,Desember,55
2017,Januari,45
2017,Februari,37
2017,Maret,52
2017,April,79
2017,Mei,58
2017,Juni,41
2017,Juli,38
2017,Agustus,51
2017,September,36
2017,Oktober,58
2017,November,39
2017,Desember,34
